pig,igpay
dog,ogday
pup,uppay
elephant,elephantay
giraffe,iraffegay
rabbit,abbitray
sandal,andalsay
octopus,octopusay
soap,oapsay
oar,oaray
ear,earay
eddie,eddieay
fringe,ingefray
string,ingstray
ceramic,eramiccay
apple,appleay
orange,orangeay
ape,apeay
monkey,onkeymay
store,orestay
crack,ackcray
black,ackblay
thin,inthay
in,inay
out,outay
eel,eelay
umbrella,umbrellaay
unfurl,unfurlay
uncoil,uncoilay
coil,oilcay
upsell,upsellay
sell,ellsay
foundation,oundationfay
fountain,ountainfay
upset,upsetay
ontology,ontologyay
enshrine,enshrineay
impatient,impatientay
island,islanday
squirrel,irrelsquay
queen,eenquay
quirk,irkquay
understand,understanday
stand,andstay
strand,andstray
brought,oughtbray
frought,oughtfray
stay,aystay
taught,aughttay
teach,eachtay
breach,eachbray
bleach,eachblay
blink,inkblay
fend,endfay
car,arcay
guitar,itarguay
year,earyay
fear,earfay
hope,opehay
love,ovelay
disdain,isdainday
shell,ellshay
game,amegay
blame,ameblay
fin,infay
